,아이디,댓글
48,lyn_.e,"세계문화유산을 메타버스로 볼 수 있다니,,!😮 멋진 모습 응원할게요❤️ @whale_hj"
49,eomminam5,❤️ 좋은이벤트 감사합니다 🔥 #세계유산도시기구 메타버스의 오픈을 진심으로 축하드립니다 👏앞으로 꽃길만걷기를 바래요 소문많이 낼께요 인친분들도 함께해요 😍@moun_s9 @sun2_midal @newstart.hj84 @imseonghun708 @jjiny818 @oooooop78 @pink81000
50,dhsh71810,메타버스로 세계유산을 볼 수 있다니 넘 신기하고 예뻐요!!👏👏 @kim3oil @hxnx_aa @mynkyg
51,dodeoghu,세계유산도시기구 메타버스 진심으로 응원 해 보아요 화이팅! @dongho8093
52,rove012486,세계유산도시의 메타버스 탄생🙌 @wksel00700
53,jewish0228,응원합니다 ❤️ @dofl86
54,eunhwa782,많은분들에게 사랑받는 세계유산도시기구 메타버스의 멋진 모습 기대하고 응원할게요 ~🤗🤗 @gnin132 @dwathe457 @jangjaewoo73
55,imeunhwa7821,참여완료 같이하자 @gjdlsdk @shin369999 @yunhui_4551 @yoom_yoom_yoom @jeonjeongweon57 @minjija1367 @mi.yuui @mono.7182 @jungmis_s
56,imeunhwa7821,참여완료 같이하자 @chanwonlovelove @merryhee @jungmis_s @t0_028 @eomminam5 @dressy4918 @jyb9608 @happyson9427 @eunjeong4551
57,o9o9gram,가자가자 구경가자 세계유산도시메타버스👏👏 @yokkmyeong @rrrrrrrrrrnnn
58,imeunhwa7821,"참여완료 같이하자 @yulma_mi
@dada.7705 @gmlw.jd5330 @luv_r720 @minmoo42 @gmlwjd8685 @hong__za @yejoechoe @yesman0024 @munhee2386"
59,gaminmam,세계유산도시기구 메타버스 응원합니다 👏👏👏👏👏💖💞 @lleegamin @hwanyunlove @minmin_minimy 👏👏
60,imeunhwa7821,"팔로우완료 앞으로 좋은소식정보 부탁드려요 응원합니다 대박나세요 참여완료 같이하자 @aasllsskkaaa @jjiny818 @merryhee @kabg_san70 @iseunggi5161
@ggim0118 @wjsalswo3 @iam_2vely @isesi12"
61,mono.7182,"세계유산도시 메타버스 공간 오픈 축하해요😍팔로우완료♡참여완료 함께해요🙂
@moun_s9 @aebeulri
@rumy9445 @aeri0919
@jylove7255 @sarangmam250
@nana0801love @laon_vip
@shin369999 @482lo_ve"
62,joy486486,세계유산도시에시 세계유산을 한자리에서 실감나게 볼수 있는 메타버스 신기하고 재미있어요 😍 팔로우완료 좋아요꾸욱 함께해요 @nowadays8869 @songsongeee @hoya_nadoo @wjsalswo3 @yonsun74 @f111282 @sunghee3434 @jjiny818 @jungmis_s @seonmogo
63,yj423844,"세계유산도시기구 메타버스 오픈을 진심으로 축파합니다👏👏😍😍 앞으로도 멋진공간 더 큰 관심과 사랑 듬뿍듬뿍 받으시길 응원 합니다👋🏻👋🏻💕💕💕💯💯💯
@gimbuyeon88 @coemyeongsun2874 @ddangkong154 @loking_b_yujin @tm_ty_th_mom @minim_ini7656 @wharan777 @dnsql0721 @boomboomboom1110 @flowerman572"
64,maedduk5,세계 유산도시기구 메타버스 #OWHC-AP 많은 관심과 사랑받길 바랍니다. 응원가득드려요!! @saoukwife68 @bestbraless @dhtjswn100 @jsb53265267 @wwwa_1986 @rosegg8035 #팔로우 #좋아요
65,ttlove1386,"메타버스 공간 넘 매력있고 자꾸보게 돼요❤️
세계유산도시기구 메타버스 응원합니다!
@you_me5425 @hahaha99899 @kimch_goods @i.m.smile_e @zakki820 @omm_o2 @yarime.e @hanul.2ya @chaeyoungevt @qqsice"
66,imeunhwa7821,참여완료 같이하자 @sjdjcjc730 @mjh4357 @ijunhyeog2835 @ioi3039 @eunhwahappy @yuseonyeong83 @munhee2386 @yejiinstaak @eunchan1417
67,gimbuyeon88,세계유산도시기구메타버스오폰축하합니다😍더많은관심과사랑듬뿍받으시길응원해요👏👏 @yj423844 @yglee8809 @jiny0523 @mind1103
68,syhlove79,세계유산도시기구 메타버스 오픈을 진심으로 축하드립니다~! 세계유산을 한눈에 볼 수 있는 메타버스 공간에서 함께 둘러봅시다😍 @mudaebbow @gyenddl0316
69,imseonghun708,세계유산도시기구 메타버스 오픈을 축하드립니다 🎉 앞으로도 많은분들에게 더욱더 사랑받길 진심으로 응원합니다 대박나세요 🙆‍♂️ ❤️🙆 인친분들 함께해요 🤗 @sdsj5639 @likeme5322 @mi_hyunlee @detui5375 @dressy4918 @oooooop78 @sooo.oow @ttjdqmffl_78 @jjiny818 @suny8180
70,yoom_yoom_yoom,세계유산도시 메타버스 함께해요😍@vaho_0707 @suelee0704 @oyeongae2 @meangmiseon @meyerlemon1031 @eunjeong9208
71,breezeay33,세계유산도시기구 메타버스 응원합니다. 초대해요!! @queen3mom72 @10ddbb10 @gjh112
72,seong.mrs,경주시 OWHC-AP에서 세계유산도시와 세계유산들을 한눈에볼수있는 메타버스공간 오픈했대요!세계유산도시기구 메타버스오픈을 축하드려요! 많은분들이관심을가지고 참여할수있도록 소문내고 응원할께요👏👏 팔로우&좋아요&리그램완료❤️https://www.instagram.com/p/ClUmEhEBKPY/?igshid=YmMyMTA2M2Y= @t0_028 @hojin.mom @dasom.skincare @heekyoung_4856 @jiyeonggim9777 @hk.shin1 @soobinqkr3340 함께해요!
73,moroccanasmr_officiel,세계유산도시기구 메타버스 이용하는데 시행착오가 @mrs.btissame @bok_nami_meow @kawthar_maree ❤️❤️
74,dotteria,#세계유산도시기구 메타버스 공간 오픈 축하합니다🎉 참여완료❤️ 함께해요~ @kimjimin6093 @kimcat_baby @jojeongsoun2989 @lovely.cat.family @blisshe_seolhwa @grain_cats0920 @han.yk8008 @bjse_1112 @luna_pponyo
75,jhjhjs5,메타버스로 만나는 세계유산도시기구 언제나 응원해요❤️@jji_sam @copa_cosuni
76,ask_0202020,세계유산기구 요즘 핫한 메타버스 응원합니다~~@man_go902 @jelli_jelly @bada_mom7 @1004.sv @evdonut @holy_moly_yelly @iziziz_iziziz @ju3390 @_hohofriend_ @jh_kim2
77,jjiny818,💜참여완료💜함께해요😊 @joy486486 @jiann_y3635 @jin__45629 @jeongjinbaeg2 @heaven_7179 @h.sangyeon @mono.7182 @moun_s9 @memame_89 @newstart.hj84
78,gimcangi4032,세계유산도시기구 메타버스 오픈을 진심으로 축하드립니다 👏❤️ 앞으로도 많은 사랑 받으시길 항상 응원하겠습니다 인친님들 모두 함께해요 👍😊 🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸 #팔로우완료 #좋아요완료 #참여완료 ✔❤️ @imjihyeon335 @goyang22 @pinkgirl3669 @misolovo @khk2160 💗💗💗💗💗💗💗💗💗💗💗
79,see._.ub,"세계유산도시기구 메타버스 응원해요 🙌
@min6.22 @not.a.studios @onhwa_x_o @like_forky_"
