,아이디,댓글
240,pankis01,세계유산도시기구 메타버스가 많은 사랑을 받고 흥하기를 응원합니다~~👏👏 기대되고 의미있는 이벤트 만들어주셔서 감사합니다 ❤❤️ #팔로우완료 #좋아요완료 #친구소환완료 @jungseokyoo @ccojeng @ssseocks
241,daisysun_y,"세계유산도시기구 메타버스 오픈을 진심으로 축하합니다.
양한 전세계 세계유산들을 체험하는 좋은 기회!!! 싱크로율 대박!! 아이와 함께해도 참 좋을 것 같아요. 앞으로 세계유산체험하면 이곳을 소개해주고 싶습니다. 많은 사랑 받길 응원합니다!!!🧡💛
@jangsohyi8 @ongoles99 @ewnaviga @sskmykhskeh_ @pak.jungsun @gaid70 @joeunyeong3449 꾹꾹 저장~~^^ 추천해요♡♡♡"
242,matchbox7942,랜선으로 세계유산도시 돌아다니면서 다양한 문화의 특징 물씬 체험할 수 있는 세계유산도시기구 메타버스 많은 분들의 사랑 듬뿍 받길 응원합니다. 귀여운 캐릭터로 뽈뽈뽈~ 동네 한바퀴 돌듯이 구경하면 재밌네요. 근데 피라미드는 어떻게 들어가나요~ @gimyuhyeon9631
243,hongmantaeg,#세계유산도시기구 #메타버스 세계유산도시와 세계유산들을 하눈에 볼 수 있는 메타버스 오픈을 축하드리고 함께 하는 이벤트 좋아요&공유해서 2022년에도 더 많은 사랑을 받아 늘 항상 꽃길만걸어가시길 응원하고 함께 동행합니다
244,gjh112,"세계유산도시기구 메타버스 오픈을 축하드리며 이제 언제 어디서라도 메타버스를 통해 즐겁게 찾아가겠습니다🎉
@peach0242 @jangyeyun658 @breezeay33"
245,angree1234,#owhc_ap 경주시 OWHC-AP 세계유산도시와 세계유산 메타버스 공간 그랜드 오픈을 진심으로 축하드리며 관심있는 세계인으로 부터 많은 사랑과 응원 및 열렬한 지지를 받기를 기원드립니다. 경주시 화이팅! / 좋아요 / 공유완료 / 팔로잉 / @sonsunhyi3 님 초대해요!
246,jwkim6983,"경주시 OWHC-AP에서
세계유산도시와 세계유산들을
한 눈에 볼 수 있는 메타버스오픈 너무 축하드립니다 화이팅^^ @minyoung446 ❤️"
247,jineb114,"경주시 OWHC-AP에서
세계유산도시와 세계유산들을
한 눈에 볼 수 있는
메타버스 공간 그랜드오픈을 축하드립니다 !!! 😍 @kimjhae0222"
248,jeonghansoo_,세계유산도시가구 메타버스 그랜드 오픈을 진심으로 축하드립니다 ^^ 많은 사랑 받으시길 바랄게요~~ @joyins20 @choiokjun @chzme_901 @yoonizzo8777 같이 응원해요 ㅎㅎ
249,prettyjh6985,"세계유산도시기구 메타버스 GRAND OPEN 하심을 진심으로 축하드립니다 ~
함께 응원해요 ~
@minyoung9368 @hellokity286 @trash798 @minyouun445 @jineb114 @baeron11111"
250,tokake47,"세계유산도시기구 메타버스 릉 응원합니다 언제 어디서나 더욱더 많이 소통해주시고, 항상 최선을 다해 귀를 기울여주시고, 앞으로 다양하고 신선한 정보와 따뜻하고 정감이 넘치는 많은 소식들로 넘쳐나시길 바랍니다.
@lenowoo @jun_e.ddin_e @byeongryun7184 @lenowio @_lenowood_ @jkk0929"
251,wjh9088,"세계유산도시기구 메타버스
응원합니다 앞으로도 더욱 많은 분들께 즐거운 소식을 알려주는 이런 좋은내용도 알게되고 다들 이곳에서 다른분들과 함께 보면서 많이 응원하고 정도 나누었으면 좋겠어요.
@kimnoun @hsiu_ang_ @byeongryun7184 @kim_sobba @inno @inmo @lenoe @woowawawa @afek_official_yez @yuch.ih"
252,pepero0303,"세계유산도시기구 메타버스 언제나 알차고 도움되는 정보와 소식으로 많은 분들에게 즐거움과 함께 힐링을 주는 공간으로 많은 사랑 받으시길 바래요 항상 함께하면서 사랑을 드리며 응원할께요~
@gregoryhs12 @kaceywoo @byeongryun7184 @lenow @lemo @jkk0929"
253,sos546908,메타버스 공간 OPEN 축하드려요@lkw546907
254,dbflglm,세계유산도시기구 메타버스 오픈 진심으로 축하드리며 응원합니다 ^ ^ @sehyi_han
255,taewangja,세계유산도시기구 라니 인류의 귀중한 문화유산 생활유산 이 더 많이 발견돼는 거군효 😍 완존 심장 쫄깃해지는 순간이네효 🔥 @_izero_u @alcion01 @madpark666
256,lkw546907,세계유산도시기구 메타버스 open 축하드려요@sos546908 @woo1639
257,genzzo1,세계유산도시기구 메타버스 이용하는데 시행착오가 있기는 했지만 재밌게 구경할 수 있었어요
258,ongoles99,"세계유산도시기구 메타버스 오픈!! 정말 축하합니다. 다양한 전세계 세계유산들을 한자리에서! 너무 멋진 것 같아요. 많은 분들에게 사랑 받으며 , 함께하길 ~~, 항상 애정갖고 지켜보고 힘껏 응원할께요.💓💓💓
🐥🐥🐥 @leenk9480 @han.miyu @chasongyeon @ju_hye_jin_ @ysh07230505 @phs2906 @jhkkmtkfkdgo @swms91
함께해요 🙋‍♀️🙋‍♀️🙋‍♀️"
259,cooljeluv,#세계유산도시기구 메탄버스 오픈 축하하고 응원드려요 🎉 @bomnaree
260,herome8307,"✔ 세계유산도시기구 메타버스의 멋진 모습 응원합니다. ~💕
@csk.happy @taewon0097 @amugotoo @johwajeong5 @flyj053 😃😃😃"
261,eskim_ep,세계 유산도시 기구 메타버스 응원 @bong3i
262,mismin76,세계유산도시 메타버스 오픈을 축하드립니다. 세계유산도시보러 얼른 실행해야겠어요. @hong.yoona @yunjae420
263,chanchan102938,"세계유산도시기구 메타버스 오픈 소식 잘보고 친구들에게도 알려요 ^^
@umum7979 @carpediem0104543 @combat7979"
264,munsu42,세계 유산도시 기구 메타버스 응원합니다
265,cucuattbts_____,세계유산도시기구 메타버스 응원합니다💛 @chocho94697
266,koutsider_2,세계유산도시기구 메타버스 오픈을 축하합니다. @hurt_iii
267,uuuu.__y,#세계유산도시기구 메타버스 오픈을 축하합니다 @kar5ratn 💜💜
268,soyoung4040,메타버스 공간 너무 좋아요^^ 세계유산도시기구 응원합니다❤️🙌 @leostar216
269,bomnaree,#세계유산도시기구 메타버스 오픈 축하축하 응원가득드립니다 🎉 @cooljeluv @misojjinj
270,jhkkmtkfkdgo,"세계유산도시기구 메타버스 소식 정말 반갑습니다!!! 전 세계 세계 유산을 한 공간 안에서 생생히 만날 수 있다니! 두근두근 기대가 클 수 밖에 없는데요, 많은 분들의 발걸음이 북적이며 큰 사랑 받는 공간 되길 응원합니다. (◍•ᴗ•◍)❤
@lim930725 @daisysun_y @bleu100479 @jeonjunseog3826 @moel505"
271,king_cat_7,#세계유산도시기구 메타버스 OPEN 을 진심으로 축하드려요~🎊🥳🎊 앞으로 많은분들의 사랑과 관심 듬뿍 받기를 응원할께요~~💜 인친님들~!! #세계유산도시기구 에서 세계유산도시와 세계유산들을 한 눈에 볼 수 잏는 메타버스 공간을 OPEN 했어요~~😊📢 우리 함께해요~💜 @scent0721 @dressy4918 @han.yk8008 @h_sin_min_tang @merryhee @bumheemarx @nyang_star_88 @jason_muha @jazz_music_flows @zero.two.seven
272,mooesalta,세계유산도시기구 메타버스 오픈을 축하드립니다!! 많은 사람들이 여러 세계유산에 대해 더욱 많은 정보를 얻을 수 있는 계기가 되길 바랍니다💜 @saraparkxs @yiseolyoon
273,phlia130,많은 사람들이 함께하는 세계유산도시기구 메타버스가 되길 응원합니다 메타버스에서 전 세계유산들을 한눈에 보자 @uuuu.__y
274,minseo._.p,메타버스 오픈 축하드립니다👏👏👏👏 세계유산도시랑 세계유산들을 한눈에 볼 수 있다니!! 경주시 OWHC-AP의 활동 응원합니다 @a___te22 @a_ye02 @man_go902 @malang_yl @1004.sv @lovelychuuuu @tsbudae_waegwan @young.2957 @sunny_chiro @jelli_jelly_
275,m.urban.w_24,진짜 메타버스로 세계유산을 한눈에 보다니🏛️🏺 멋진 기술력에 감탄합니당! 🥹 @finally_0321 @w.urban.m_24
276,han.yk8008,#owhc_ap 팔로우완료 #참여완료 #좋아요 🔜#세계유산도시기구 #메타버스 오픈을 축하드리며 더많은 사랑과 관심속에서 승승장구하시길 기원할께요〰️🙏 @nasarang1613 @na_a_aring @king_cat_7 @sky123142 @scent0721 @arar.2865.illus @dressy4918 @dotteria 💕
277,yeonmi0426,세계유산도시기구 메타버스 공간 오픈을 축하합니다🎉🎊 ❣️❣️ @c3021092 @jeongjinbaeg2 @zani7.9 @love__hj486 @believe_in__on_self @imsy8448 @dch1915 @iam_2vely #팔로우완료 #좋아요완료
278,petio007,"세계유산도시기구 메타버스!! 반가워요. 다양한 세계유산도시기구들을 메타버스 세상에서 만날 수 있다니, 생생히 다가갈 수 있는 공간이 생겨서 너무 좋습니다. 많은 사랑 받는 세계유산도시기구 메타버스 되길 응원합니다.
혼자 알기 아까워 널리 알릴게요!
@andendland @jopdzzan @onekue6481 @ongoles99 @ewnaviga 추천해요"
279,s1garden,"세계유산도시기구 메타버스
다양하고 멋지게 꾸며놓으셔서 그 스케일과 장관에 감탄했어요!
퀴즈도 즐기고, 다양한 지역 사무처에 대해서도 이모저모 알 수 있는 즐거운 공간, 세계유산도시기구 메타버스 🧡🧡 많은 분들의 사랑 받기를 응원합니다.❣❣
@moel505 @jangsohyi8 @dream.juju789 @soonsu85 @hyeonmi6787 @jhkmmtkfkdgo 함께 놀러가자~"
280,skehgksek,메타버스 공간OPEN 축하드려요 @choi__gobuja
281,bada4na2,세계유산도시기구 메타버스에 세계의 많은 사람들이 접속해서 우리 경주에 대해 많이 알아가게 되기를 응원해요 @take_care_be
282,baehj979090,참여완료 @jeong_m1.k @miyo_523
283,berrymom88,"세계유안도시기구 메타버스 오픈 추카드ㅕㄹ요🙌❤️ 스토리참여완료🫶🏻🖤♥️
@josu.88 @lovelysunny88 @seonmogo"
284,haha_me07,같이 참여합니다! @go_ha_hee ❤️❤️❤️❤️
285,simboyeong56,같이참여하자😍 @koreabow @lesmorissi
286,sun8654_,같이 참여해 @simboyeong56
287,h_by9904,참여해요😂 @sun8654_
288,hyjoyful,같이참여하자👏👏👏 #참여완료 @koreabow @lesmorissi @h_by9904
289,hongcha_ro,같이 참여하장😂 #참여완료 @hyonchury @hyjoyful @koreabow
290,mypsychool,참여합니다 #참여완료@hongcha_ro
291,1994_729,참여해요 ❤️ #참여완료 @hongcha_ro @lucky_chu7
292,isap.ngo,참여합니닷 @1994_729 @korea_bow
293,gotoomooon,같이참여하자 🔥 @le_ureka @mypsychool @isap.ngo @like_forky_
294,369siwon,"세계유산도시기구 메타버스 오픈을 진심으로 축하드립니다. 🎉🎉대박기원입니다🎉🎉항상 응원하겠습니다!
🔥🔥참여완료🔥🔥 팔로우 좋아요 완료 @top245"
295,s.ang_min.a_win.a,세계유산도시기구 메타버스 오픈을 축하합니다. 이 친구들이랑 같이 놀러가고 싶네요 ㅋㅋ @peach.vanilla.scent @mym1ndmine
296,minxuan.ck,"@som_e221006 ,같이 보고 참여하쟈😍"
297,ki019019,"세계유산도시기구 메타버스 오픈을 축하합니다~우리 모두 많이 참가해 봐요❤️❤️ 실감나는 메타버스 세상 굿이예요 ❤️ 팔로우, 좋아요 완료 @dahyeon9917 @a_wise_bell  @mi__jeong917 @candy_swimming @jhye_yoon @jeongsangjun50"
298,slyang100,세계유산도시기구 메타버스 오픈을 축하합니다.😂😂 @byeonmingwan😂😂
299,deobeulh,"세계유산도시기구를 메타버스로 편하게 방문하는 세상,,, 조타 조아 @hyanghajoo"
300,kyungheechae,"세계유산도시기구 메타버스를 응원합니다🙏🙏🙏팔로우 완료🤗
좋아요 ❤ 꾸욱 👆
우리모두 좋^~~은 정보로 공유해요😍
흑호랑이의 해 2022 건강하고 행복하게~~~~!!!!!!!!!!!!
한해 보내봅시다.!!!!!
🤗❤🤗❤🤗❤🤗❤🤗❤🤗❤
@123.dadungmom
@siwoliiii  
@kikikikk0330   
@donyoung0920 
@kyungheechae
@love_love_kej @limjungjun          @lovelove_hayun     @song.kyunghee @eunyoung_118
❤--지남매프렌즈~~❤"
