아이디,댓글,시간
jgh8777,"💟💛💓💛  #세계유산도시기구 👉 참여완료 ✅방명록 작성완료 ✅업로드완료 → 처음엔 익숙치않아 이게뭔가....싶었는데~ 몇벙 들락날락 해보니 이거 꽤 재미있고 멋지네요~~!! ♡ 함께 참여해요~  💛💓💛💟 
https://www.instagram.com/p/CmFg08VhAg-/?igshid=YmMyMTA2M2Y=
https://www.instagram.com/p/CmFjHhSBzE1/?igshid=YmMyMTA2M2Y=
✅친구소환완료
✅팔로우완료 
✅좋아요완료  🍀🍀
다양하고 유익한 정보들과 이벤트에 감사드립니다~🌸      
앞으로도 많은 사랑 받으며 번창하시길 바랄께요~ ^^
행복한일만 가득하세요~~~💙
💟 @shin369999
💟 @gweongyeongsun39
💟 @sandy__0305
💟 @taeng.e.taeng.e
💟 @taejin.jeon.18 
💟 @2yu.emo______
💟 @zoakap2882 👍👍👍",2022-12-08 03:22:37+00:00
taein_abeom,"참여완료~!! 좋아요, 팔로우 완료^^!! 인증샷 남겨봐요~~ https://www.instagram.com/p/Cl5EWXipMCT/?utm_source=ig_web_copy_link @ffaksdf @ujukuy55 @mikhail47qkh",2022-12-07 04:24:56+00:00
hyonga123,"참여완료
https://www.instagram.com/p/Cl2moykJN7x/

메타버스 우체통에서 방명록을 작성하면 당첨 확률 𝓤𝓟

@sun2_midal @with20170814 @abnkorea @hanyoungdol 함께해요",2022-12-09 16:51:15+00:00
dohwan8191,"https://www.instagram.com/p/Cl9FaTiBqHb/?igshid=YmMyMTA2M2Y= 참여완료 우리 함께 하자~잉🌈😊
@bvxzz7 @jeong_joo_1219
@sweetsunnyp_ @sap234__
@shing.a78 @mrkims86
@xlseohuexl @ihyeyeong966
@simeunhye43 @annyeong5617",2022-12-13 03:04:09+00:00
sandy__0305,참여완료 https://www.instagram.com/p/CmF6Ox1JyvA/?igshid=YmMyMTA2M2Y= #세계유산도시 #메타버스 @eueijddn @myou0813 @soms.i,2022-12-12 23:46:14+00:00
horimuni,"#세계유산도시기구 ⏩ 참여완료 → 방명록도 작성했어요~ 너무 신기하고 멋진곳이 잔뜩있어요!! ✅캐릭터 캡쳐 업로드 완료 👉 https://www.instagram.com/p/CmFh9O3Bd_l/?igshid=YmMyMTA2M2Y= 💜 https://www.instagram.com/p/CmFiIFsBUr9/?igshid=YmMyMTA2M2Y= ✅팔로우완료 ☑좋아요완료 ☑친구소환완료
다양하고 유익한 정보 잘보고있습니다~
더욱 큰 사랑 받으시며 번창하시길 바랍니다~💗💙💗
@taeng.e.taeng.e @taejin.jeon.18
@leejiyoung1007 @hjd8366 @yunhui_4551 @munbong84 @skdoak77 @gimjiseon617 @priapus1130 @jelly__1216",2022-12-04 05:09:03+00:00
eunj999,참여완료,2022-12-08 05:59:46+00:00
songgolds,https://www.instagram.com/p/Cl5WHzKpjr9/?igshid=YmMyMTA2M2Y= 참여완료 방명록 활성화가 안되요😢😢😢 @jje0082 @youm4177,2022-12-03 14:21:29+00:00
_happyday_1004,참여완료 ❤️ https://www.instagram.com/p/CltW6IsvoCp/?utm_source=ig_web_copy_link 🧡💛💚💙💜 @sundew4004 @choi.zzhang @jsch610 @smjjdh1225 @gimjeongseon488 @jjjuu._.nim @syj_0728 @ssong2623,2022-12-09 04:46:25+00:00
lee.y.r80,https://www.instagram.com/p/CltXIwtJVEA/?igshid=YmMyMTA2M2Y= 참여완료❤️,2022-12-12 12:10:33+00:00
